Epoch 01 | Loss: 0.5129 | LR: 0.000500
Epoch 01 | Loss: 0.7212 | LR: 0.000500
Epoch 02 | Loss: 0.2944 | LR: 0.000500
Epoch 03 | Loss: 0.1907 | LR: 0.000500
Epoch 04 | Loss: 0.2050 | LR: 0.000500
Epoch 05 | Loss: 0.1344 | LR: 0.000500
Epoch 06 | Loss: 0.1555 | LR: 0.000500
Epoch 07 | Loss: 0.1452 | LR: 0.000500
Epoch 08 | Loss: 0.1127 | LR: 0.000500
Epoch 09 | Loss: 0.0960 | LR: 0.000500
Epoch 10 | Loss: 0.0765 | LR: 0.000500
Epoch 11 | Loss: 0.0840 | LR: 0.000500
Epoch 12 | Loss: 0.1004 | LR: 0.000500
Epoch 13 | Loss: 0.0979 | LR: 0.000500
Epoch 14 | Loss: 0.0719 | LR: 0.000500
Epoch 01 | Loss: 0.7406 | LR: 0.000500
Epoch 15 | Loss: 0.0811 | LR: 0.000500
Epoch 02 | Loss: 0.2741 | LR: 0.000500
Epoch 16 | Loss: 0.1083 | LR: 0.000500
Epoch 03 | Loss: 0.1727 | LR: 0.000500
Epoch 17 | Loss: 0.0942 | LR: 0.000500
Epoch 04 | Loss: 0.1677 | LR: 0.000500
Epoch 18 | Loss: 0.0958 | LR: 0.000250
Epoch 05 | Loss: 0.1630 | LR: 0.000500
Epoch 19 | Loss: 0.0780 | LR: 0.000250
Epoch 06 | Loss: 0.1219 | LR: 0.000500
Epoch 20 | Loss: 0.0671 | LR: 0.000250
Epoch 07 | Loss: 0.1059 | LR: 0.000500
Epoch 21 | Loss: 0.0614 | LR: 0.000250
Epoch 08 | Loss: 0.0916 | LR: 0.000500
Epoch 22 | Loss: 0.0695 | LR: 0.000250
Epoch 09 | Loss: 0.0941 | LR: 0.000500
Epoch 23 | Loss: 0.0594 | LR: 0.000250
Epoch 10 | Loss: 0.0850 | LR: 0.000500
Epoch 24 | Loss: 0.0562 | LR: 0.000250
Epoch 11 | Loss: 0.0875 | LR: 0.000500
Epoch 12 | Loss: 0.0827 | LR: 0.000500
Epoch 25 | Loss: 0.0566 | LR: 0.000250
Epoch 26 | Loss: 0.0530 | LR: 0.000250
Epoch 13 | Loss: 0.0732 | LR: 0.000500
Epoch 14 | Loss: 0.0668 | LR: 0.000500
Epoch 27 | Loss: 0.0560 | LR: 0.000250
Epoch 28 | Loss: 0.0509 | LR: 0.000250
Epoch 15 | Loss: 0.0633 | LR: 0.000500
Epoch 29 | Loss: 0.0797 | LR: 0.000250
Epoch 16 | Loss: 0.0650 | LR: 0.000500
Epoch 30 | Loss: 0.0585 | LR: 0.000250
Epoch 17 | Loss: 0.0667 | LR: 0.000500
Epoch 31 | Loss: 0.0554 | LR: 0.000250
Epoch 18 | Loss: 0.1094 | LR: 0.000500
Epoch 32 | Loss: 0.0530 | LR: 0.000125
Epoch 19 | Loss: 0.0712 | LR: 0.000250
Epoch 33 | Loss: 0.0536 | LR: 0.000125
Epoch 20 | Loss: 0.0607 | LR: 0.000250
Epoch 34 | Loss: 0.0497 | LR: 0.000125
Epoch 21 | Loss: 0.0540 | LR: 0.000250
Epoch 35 | Loss: 0.0475 | LR: 0.000125
Epoch 22 | Loss: 0.0536 | LR: 0.000250
Epoch 36 | Loss: 0.0468 | LR: 0.000125
Epoch 23 | Loss: 0.0502 | LR: 0.000250
Epoch 37 | Loss: 0.0471 | LR: 0.000125
Epoch 24 | Loss: 0.0493 | LR: 0.000250
Epoch 38 | Loss: 0.0458 | LR: 0.000125
Epoch 25 | Loss: 0.0486 | LR: 0.000250
Epoch 39 | Loss: 0.0456 | LR: 0.000125
Epoch 26 | Loss: 0.0494 | LR: 0.000250
Epoch 27 | Loss: 0.0471 | LR: 0.000250
Epoch 40 | Loss: 0.0446 | LR: 0.000125
Epoch 28 | Loss: 0.0479 | LR: 0.000250
Epoch 29 | Loss: 0.0483 | LR: 0.000250
Epoch 30 | Loss: 0.0467 | LR: 0.000250
Epoch 31 | Loss: 0.0442 | LR: 0.000250
Epoch 32 | Loss: 0.0443 | LR: 0.000250
Epoch 33 | Loss: 0.0443 | LR: 0.000250
Epoch 34 | Loss: 0.0423 | LR: 0.000250
Epoch 35 | Loss: 0.0413 | LR: 0.000250
Epoch 36 | Loss: 0.0414 | LR: 0.000250
Epoch 37 | Loss: 0.0412 | LR: 0.000250
Epoch 38 | Loss: 0.0771 | LR: 0.000250
Epoch 39 | Loss: 0.0664 | LR: 0.000250
Epoch 40 | Loss: 0.0583 | LR: 0.000250
